ID OMM station;Date;Pression au niveau mer;Variation de pression en 3 heures;Type de tendance barométrique;Direction du vent moyen 10 mn;Vitesse du vent moyen 10 mn;Température;Point de rosée;Humidité;Visibilité horizontale;Temps présent;Temps passé 1;Temps passé 2;Nebulosité totale;Nébulosité  des nuages de l' étage inférieur;Hauteur de la base des nuages de l'étage inférieur;Type des nuages de l'étage inférieur;Type des nuages de l'étage moyen;Type des nuages de l'étage supérieur;Pression station;Niveau barométrique;Géopotentiel;Variation de pression en 24 heures;Température minimale sur 12 heures;Température minimale sur 24 heures;Température maximale sur 12 heures;Température maximale sur 24 heures;Température minimale du sol sur 12 heures;Méthode de mesure Température du thermomètre mouillé;Température du thermomètre mouillé;Rafale sur les 10 dernières minutes;Rafales sur une période;Periode de mesure de la rafale;Etat du sol;Hauteur totale de la couche de neige, glace, autre au sol;Hauteur de la neige fraîche;Periode de mesure de la neige fraiche;Précipitations dans la dernière heure;Précipitations dans les 3 dernières heures;Précipitations dans les 6 dernières heures;Précipitations dans les 12 dernières heures;Précipitations dans les 24 dernières heures;Phénomène spécial 1;Phénomène spécial 2;Phénomène spécial 3;Phénomène spécial 4;Nébulosité couche nuageuse 1;Type nuage 1;Hauteur de base 1;Nébulosité couche nuageuse 2;Type nuage 2;Hauteur de base 2;Nébulosité couche nuageuse 3;Type nuage 3;Hauteur de base 3;Nébulosité couche nuageuse 4;Type nuage 4;Hauteur de base 4;Coordonnees;Nom;Type de tendance barométrique;Temps passé 1;Temps présent
07280;2013-05-11T05:00:00+02:00;101880;-110;6;0;0.0;282.85;281.45;91;40000;0;;;100;;1750;;;;99140;;;;;;;;;;;;1.000000;-10;;0.000000;;;0.0;0.0;;;;710.000000;1101.000000;;;;;;;;;;;;;;;47.267833, 5.088333;DIJON-LONGVIC;6;;0
07280;2013-05-11T08:00:00+02:00;101900;30;3;0;0.0;283.55;280.95;84;60000;0;;;100;;1250;;;;99170;;;;282.650000;;286.250000;;282.150000;;;;2.600000;-10;0;0.000000;;;0.0;0.0;;0.0;0.0;710.000000;1103.000000;;;;;;;;;;;;;;;47.267833, 5.088333;DIJON-LONGVIC;3;;0
07280;2013-05-08T23:00:00+02:00;101490;170;1;290;1.5;288.85;285.25;79;60000;0;;;100;;1250;;;;98820;;;;;;;;;;;;3.100000;-10;;0.000000;;;0.0;0.0;;;;710.000000;1103.000000;;;;;;;;;;;;;;;47.267833, 5.088333;DIJON-LONGVIC;1;;0
07280;2013-03-16T07:00:00+01:00;101650;-120;7;30;0.5;266.15;263.95;82;6000;0;;;;;;;;;98740;;;;266.050000;;275.050000;;262.150000;;;;1.000000;-10;0;0.000000;;;0.0;0.0;;0.0;0.0;710.000000;1101.000000;;;;;;;;;;;;;;;47.267833, 5.088333;DIJON-LONGVIC;7;;0
07280;2013-03-16T13:00:00+01:00;101070;-290;8;150;6.2;279.85;265.45;35;23000;0;;;75;;;;;;98320;;;;;;;;;;;;10.300000;-10;;0.000000;;;0.0;0.0;0.0;;;710.000000;1110.000000;;;;;;;;;;;;;;;47.267833, 5.088333;DIJON-LONGVIC;8;;0
07280;2013-03-14T04:00:00+01:00;101180;-10;8;330;2.6;267.95;266.25;86;8000;0;;;;;1750;;;;98310;;;;;;;;;;;;3.100000;-10;;0.000000;;;0.0;0.0;;;;710.000000;1103.000000;;;;;;;;;;;;;;;47.267833, 5.088333;DIJON-LONGVIC;8;;0
07280;2013-03-15T01:00:00+01:00;101530;70;2;340;5.1;271.65;267.45;70;22000;0;;;;;;;;;98690;;;;;;;;;;;;7.700000;-10;;0.000000;;;0.0;0.0;0.0;;;710.000000;1108.000000;;;;;;;;;;;;;;;47.267833, 5.088333;DIJON-LONGVIC;2;;0
07280;2013-03-23T04:00:00+01:00;100580;0;0;320;0.5;277.65;275.55;86;6000;0;;;100;;;;;;97830;;;;;;;;;;;;1.000000;-10;;0.000000;;;0.0;0.0;;;;710.000000;1101.000000;;;;;;;;;;;;;;;47.267833, 5.088333;DIJON-LONGVIC;0;;0
07280;2013-03-28T04:00:00+01:00;100730;-30;8;350;3.1;273.95;270.15;76;6000;0;;;100;;1250;;;;97930;;;;;;;;;;;;5.100000;-10;;0.000000;;;0.0;0.0;;;;710.000000;1105.000000;;;;;;;;;;;;;;;47.267833, 5.088333;DIJON-LONGVIC;8;;0
07280;2013-03-26T22:00:00+01:00;100840;20;0;10;1.5;275.85;270.95;70;6000;0;;;100;;800;;;;98060;;;;;;;;;;;;3.100000;-10;;0.000000;;;0.0;0.0;;;;710.000000;1103.000000;;;;;;;;;;;;;;;47.267833, 5.088333;DIJON-LONGVIC;0;;0
07280;2013-04-08T05:00:00+02:00;100830;-220;6;0;0.0;275.15;270.95;74;12000;0;;;100;;;;;;98040;;;;;;;;;;;;1.000000;-10;;0.000000;;;0.0;0.0;;;;710.000000;1101.000000;;;;;;;;;;;;;;;47.267833, 5.088333;DIJON-LONGVIC;6;;0
07280;2013-04-09T05:00:00+02:00;100520;-120;6;200;1.0;276.25;275.35;94;10000;0;;;90;;;;;;97750;;;;;;;;;;;;4.100000;-10;;0.000000;;;0.0;0.0;;;;710.000000;1104.000000;;;;;;;;;;;;;;;47.267833, 5.088333;DIJON-LONGVIC;6;;0
07280;2013-04-09T11:00:00+02:00;100350;20;3;190;7.7;279.25;278.25;93;18000;0;;;100;;250;;;;97620;;;;;;;;;;;;11.300000;-10;;0.000000;;;0.8;2.0;;;;710.000000;1111.000000;;;;;;;;;;;;;;;47.267833, 5.088333;DIJON-LONGVIC;3;;0
